Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
2017,1517,12,P67809,266604464.8584,4.2294,2.0685,3202045876358170,0.9941,0,kirkwood_rep3
2018,1517,12,P67809,209884444.453,7.5558,5.2944,3202045876358170,0.9941,0,kirkwood_rep3
2019,1517,12,P67809,74877863.9146,22.2448,-3.2653,3202045876358170,0.9941,0,kirkwood_rep3
2020,1518,12,P67812,9411593.8671,2.3415,2.1292,4391899693628.35,0.9762,0,kirkwood_rep3
2021,1519,12,P67870,30616307.5964,17.9576,3.9422,98799587081761.2,0.8543,0,kirkwood_rep3
2022,1520,12,P67936,247084672.8067,18.5853,1.8694,631337216693233,0.9857,0,kirkwood_rep3
2023,1521,12,P68032,1024422914.5297,29.6156,3.9909,9.48072371653682E+016,0.9758,0,kirkwood_rep3
2024,1521,12,P68032,655795278.2629,36.5641,1.9313,9.48072371653682E+016,0.9758,0,kirkwood_rep3
2025,1521,12,P68032,877674302.6887,29.4238,1.5149,9.48072371653682E+016,0.9758,0,kirkwood_rep3
2026,1522,12,P68036,1071034373.8849,31.7404,2.3101,3699183910219881,0.9987,0,kirkwood_rep3
2027,1523,12,P68104,1443048889.7497,20.3889,69.9925,6.8240992038928E+016,0.9765,0,kirkwood_rep3
2028,1523,12,P68104,167266330.5514,33.8181,3.0214,6.8240992038928E+016,0.9765,0,kirkwood_rep3
2029,1523,12,P68104,896647153.9452,13.2263,2.3849,6.8240992038928E+016,0.9765,0,kirkwood_rep3
2030,1523,12,P68104,532986395.9576,24.6227,1.6707,6.8240992038928E+016,0.9765,0,kirkwood_rep3
2031,1524,12,P68133,707960589.8806,36.3951,2.09,2.30868795845626E+017,0.9684,0,kirkwood_rep3
2032,1524,12,P68133,1683846682.5998,29.3508,2.9398,2.30868795845626E+017,0.9684,0,kirkwood_rep3
2033,1525,12,P68363,25050253.1706,25.9374,1.7935,2640525531849.14,0.984,0,kirkwood_rep3
2034,1526,12,P68366,3576423.5794,2.0333,1.6808,3096123136077.24,0.9273,0,kirkwood_rep3
2035,1526,12,P68366,2320040.1793,31.9719,2.7337,3096123136077.24,0.9273,0,kirkwood_rep3
2036,1526,12,P68366,2989398.3684,12.8678,4.0927,3096123136077.24,0.9273,0,kirkwood_rep3
2037,1526,12,P68366,1392212.6012,23.036,-1.3964,3096123136077.24,0.9273,0,kirkwood_rep3
2038,1527,12,P68371,451493152.1574,26.1966,1.7494,7215514849479013,0.9688,0,kirkwood_rep3
2039,1527,12,P68371,91117190.9553,22.6151,-2.0977,7215514849479013,0.9688,0,kirkwood_rep3
2040,1528,12,P68400,127675892.4759,18.1046,3.7536,63761355155831.3,0.8741,0,kirkwood_rep3
2041,1528,12,P68400,36403763.1344,11.9349,3.0057,63761355155831.3,0.8741,0,kirkwood_rep3
2042,1529,12,P68402,70819930.6644,27.9313,2.5696,49545284815226.4,0.9965,0,kirkwood_rep3
2043,1530,12,P68431,104071105.1687,6.3354,-2.7326,2.00336036010887E+015,0.9509,0,kirkwood_rep3
